score,score_dealer,hard,score_if_hit,score_fin_dealer,game_id,hard_if_hit
14,9,True,19,26,1,True
19,9,True,29,26,1,True
16,9,True,26,26,2,True
5,9,True,9,26,3,True
9,9,True,20,26,3,True
20,9,True,21,26,3,True
17,7,True,27,17,4,True
16,7,True,26,17,5,True
12,7,True,15,17,6,True
15,7,True,22,17,6,True
19,10,True,22,17,7,True
18,10,True,28,17,8,True
19,10,True,29,17,9,True
9,6,True,19,20,10,True
19,6,True,24,20,10,True
9,6,True,13,20,11,True
13,6,True,18,20,11,True
18,6,True,19,20,11,True
19,6,True,29,20,11,True
9,6,True,18,20,12,True
18,6,True,25,20,12,True
17,6,True,16,20,13,True
16,6,True,26,20,13,True
16,10,True,22,19,14,True
11,10,True,15,19,15,True
15,10,True,25,19,15,True
12,10,True,14,19,16,True
14,10,True,24,19,16,True
10,11,True,19,21,17,True
19,11,True,29,21,17,True
10,11,True,12,21,18,True
12,11,True,16,21,18,True
16,11,True,21,21,18,True
8,11,True,18,21,19,True
18,11,True,24,21,19,True
11,11,True,21,21,20,True
13,10,True,18,26,21,True
18,10,True,18,26,21,True
18,10,True,19,26,21,True
19,10,True,26,26,21,True
19,10,True,28,26,22,True
10,10,True,16,26,23,True
16,10,True,26,26,23,True
19,2,True,24,17,24,True
7,2,True,17,17,25,True
17,2,True,18,17,25,True
18,2,True,27,17,25,True
11,2,True,13,17,26,True
13,2,True,14,17,26,True
14,2,True,23,17,26,True
10,11,True,16,20,27,True
16,11,True,20,20,27,True
20,11,True,21,20,27,True
10,11,True,20,20,28,True
20,11,True,27,20,28,True
9,11,True,11,20,29,True
11,11,True,16,20,29,True
16,11,True,19,20,29,True
19,11,True,28,20,29,True
10,11,True,20,20,30,True
20,11,True,30,20,30,True
10,11,True,15,20,31,True
15,11,True,21,20,31,True
13,10,True,22,21,32,True
12,10,True,22,21,33,True
14,10,True,23,21,34,True
12,3,True,17,23,35,True
17,3,True,27,23,35,True
16,3,True,26,23,36,True
18,3,True,18,23,37,True
18,3,True,19,23,37,True
19,3,True,24,23,37,True
8,2,True,18,22,38,True
18,2,True,28,22,38,True
17,2,True,24,22,39,True
15,2,True,12,22,40,True
12,2,True,21,22,40,True
21,2,True,,17,41,
11,2,True,17,17,42,True
17,2,True,21,17,42,True
15,2,True,24,17,43,True
21,8,True,,21,44,
14,8,True,22,21,45,True
18,8,True,28,21,46,True
17,3,True,23,25,47,True
14,3,True,23,25,48,True
12,3,True,14,25,49,True
14,3,True,15,25,49,True
15,3,True,19,25,49,True
19,3,True,29,25,49,True
13,7,True,15,17,50,True
15,7,True,25,17,50,True
15,7,True,18,17,51,True
18,7,True,28,17,51,True
18,7,True,22,17,52,True
7,2,True,17,26,53,True
17,2,True,19,26,53,True
19,2,True,20,26,53,True
20,2,True,21,26,53,True
7,2,True,10,26,54,True
10,2,True,20,26,54,True
20,2,True,28,26,54,True
7,2,True,17,26,55,True
17,2,True,21,26,55,True
9,2,True,19,26,56,True
19,2,True,29,26,56,True
9,2,True,13,26,57,True
13,2,True,16,26,57,True
16,2,True,18,26,57,True
18,2,True,28,26,57,True
19,2,True,20,21,58,True
20,2,True,16,21,58,True
16,2,True,21,21,58,True
